ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.077,13,1,1,0,0,.462,2.9,.446,6,0,20150105,82,14,12,4,1.7,HOU,10,22.9,.000,17.0,1,2461.0,0.0,.462,4,18.6,0,.000,10.2,1,3,Dwight Howard,116,0,0,27.9,-8.6,0
.136,22,4,1,3,1,.318,13.1,.429,7,.375,20150105,98,2,20,0,3.7,HOU,2,7.9,1.000,26.4,3,2299.0,1.3,.386,2,2.8,3,.364,0.0,2,4,James Harden,121,0,8,6.0,-1.5,-10
.000,11,5,1,0,3,.273,16.3,.318,3,.250,20150105,82,6,7,1,4.1,HOU,5,15.4,0,15.1,0,2062.0,4.3,.318,2,9.5,1,.364,3.0,2,4,Trevor Ariza,110,0,4,16.6,0.1,-2
.000,12,6,1,0,1,.583,25.3,.583,7,.000,20150105,148,6,14,5,4.5,HOU,1,0.0,0,15.3,0,1883.0,1.6,.583,0,10.4,0,.083,16.6,2,5,Patrick Beverley,121,0,1,3.6,10.3,-8
.000,14,3,1,0,1,.571,16.7,.571,8,.000,20150105,123,6,16,2,2.7,HOU,4,6.7,0,22.6,0,1593.0,1.9,.571,1,12.3,0,.143,7.9,1,4,Donatas Motiejūnas,115,0,2,17.2,5.5,+5
.000,20,2,0,0,3,.500,13.3,.525,10,.200,20150105,99,6,21,4,0.0,HOU,2,16.7,0,37.4,0,1537.0,5.8,.525,4,12.8,1,.250,16.3,0,3,Josh Smith,112,0,5,8.9,3.6,-19
.000,6,1,0,0,0,.500,6.5,.583,3,.333,20150105,109,1,7,0,0.0,HOU,1,14.3,0,14.9,0,1122.0,0.0,.583,1,2.9,1,.500,0.0,0,1,Corey Brewer,125,0,3,6.1,-4.0,-5
.333,3,3,0,0,0,1.000,22.6,1.163,3,1.000,20150105,131,0,8,0,0.0,HOU,0,36.8,.000,13.1,1,997.0,0.0,1.333,2,0.0,2,.667,0.0,0,2,Jason Terry,128,0,2,0.0,4.5,-1
.000,1,0,0,0,0,.000,0.0,.000,0,0,20150105,0,0,0,0,0.0,HOU,0,0.0,0,5.4,0,446.0,0.0,.000,0,0.0,0,.000,0.0,0,1,Kostas Papanikolaou,128,0,0,0.0,-15.3,-5
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,HOU,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Alexey Shved,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,HOU,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Joey Dorsey,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,HOU,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Isaiah Canaan,0,0,0,0,0,0
.412,17,1,1,6,3,.412,3.5,.548,7,.500,20150105,124,5,22,1,1.5,CHI,4,4.7,.857,21.2,7,2484.0,3.6,.471,1,6.6,2,.235,2.8,1,0,Jimmy Butler,107,0,4,10.1,2.1,+9
.429,7,3,1,2,2,.429,11.3,.481,3,0,20150105,101,10,8,5,10.9,CHI,5,26.5,.667,13.7,3,2068.0,2.9,.429,3,15.8,0,.000,16.6,6,4,Joakim Noah,101,0,0,15.1,3.3,+13
.438,16,3,1,7,0,.625,15.5,.708,10,0,20150105,146,14,27,5,3.6,CHI,9,9.5,1.000,25.6,7,2061.0,0.0,.625,2,22.2,0,.000,16.6,2,1,Pau Gasol,107,0,0,27.3,9.7,+2
.353,17,9,1,6,2,.353,38.9,.484,6,.250,20150105,114,3,19,1,0.0,CHI,2,13.3,1.000,27.7,6,2045.0,2.9,.382,3,4.8,1,.235,3.4,0,1,Derrick Rose,111,0,4,6.1,0.9,+12
.167,6,2,1,1,1,.667,12.2,.776,4,.333,20150105,120,1,10,0,2.6,CHI,1,23.7,1.000,14.7,1,1433.0,2.1,.750,2,2.3,1,.500,0.0,1,1,Kirk Hinrich,112,0,3,4.4,3.0,-3
.667,6,4,0,3,1,.500,19.8,.580,3,0,20150105,109,6,9,3,0.0,CHI,3,27.9,.750,16.5,4,1631.0,1.8,.500,3,12.0,0,.000,12.6,0,1,Taj Gibson,111,0,0,11.5,0.0,+3
.167,12,1,0,2,0,.583,6.2,.660,7,.250,20150105,136,8,17,2,4.6,CHI,6,7.2,1.000,21.3,2,1626.0,0.0,.625,1,16.1,1,.333,8.4,2,3,Nikola Mirotić,108,0,4,23.1,3.9,+15
.000,3,4,0,0,1,.333,33.1,.333,1,.000,20150105,75,0,2,0,0.0,CHI,0,40.0,0,13.6,0,919.0,3.2,.333,2,0.0,0,.333,0.0,0,2,Aaron Brooks,113,0,1,0.0,-8.3,0
.000,1,0,0,0,0,.000,0.0,.000,0,.000,20150105,0,0,0,0,0.0,CHI,0,0.0,0,18.8,0,133.0,0.0,.000,0,0.0,0,1.000,0.0,0,0,E'Twaun Moore,120,0,1,0.0,-26.7,-6
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Tony Snell,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Nazr Mohammed,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Cameron Bairstow,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,HOU,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Clint Capela,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,HOU,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Nick Johnson,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,HOU,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Terrence Jones,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Mike Dunleavy,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150105,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Doug McDermott,0,1,0,0,0,0
